Region,Age Group,Household Composition,Count
North West,Aged 15 years and under,Single-person,380
North West,Aged 16 to 24 years,Single-person,30236
North West,Aged 25 to 34 years,Single-person,105234
North West,Aged 35 to 49 years,Single-person,165086
North West,Aged 50 years and over,Single-person,713977
Yorkshire and The Humber,Aged 15 years and under,Single-person,187
Yorkshire and The Humber,Aged 16 to 24 years,Single-person,25274
Yorkshire and The Humber,Aged 25 to 34 years,Single-person,77367
Yorkshire and The Humber,Aged 35 to 49 years,Single-person,117103
Yorkshire and The Humber,Aged 50 years and over,Single-person,513627
East Midlands,Aged 15 years and under,Single-person,155
East Midlands,Aged 16 to 24 years,Single-person,17379
East Midlands,Aged 25 to 34 years,Single-person,58245
East Midlands,Aged 35 to 49 years,Single-person,90959
East Midlands,Aged 50 years and over,Single-person,430439
West Midlands,Aged 15 years and under,Single-person,303
West Midlands,Aged 16 to 24 years,Single-person,21228
West Midlands,Aged 25 to 34 years,Single-person,71640
West Midlands,Aged 35 to 49 years,Single-person,112998
West Midlands,Aged 50 years and over,Single-person,519636
East of England,Aged 15 years and under,Single-person,1053
East of England,Aged 16 to 24 years,Single-person,18745
East of England,Aged 25 to 34 years,Single-person,70691
East of England,Aged 35 to 49 years,Single-person,115977
East of England,Aged 50 years and over,Single-person,553342
London,Aged 15 years and under,Single-person,324
London,Aged 16 to 24 years,Single-person,32082
London,Aged 25 to 34 years,Single-person,145863
London,Aged 35 to 49 years,Single-person,226823
London,Aged 50 years and over,Single-person,596891
South East,Aged 15 years and under,Single-person,349
South East,Aged 16 to 24 years,Single-person,22313
South East,Aged 25 to 34 years,Single-person,94310
South East,Aged 35 to 49 years,Single-person,162690
South East,Aged 50 years and over,Single-person,802077
South West,Aged 15 years and under,Single-person,251
South West,Aged 16 to 24 years,Single-person,17224
South West,Aged 25 to 34 years,Single-person,62584
South West,Aged 35 to 49 years,Single-person,102997
South West,Aged 50 years and over,Single-person,558266
Wales,Aged 15 years and under,Single-person,380
Wales,Aged 16 to 24 years,Single-person,11322
Wales,Aged 25 to 34 years,Single-person,38038
Wales,Aged 35 to 49 years,Single-person,61866
Wales,Aged 50 years and over,Single-person,317953
