Region,Age Group,Household Composition,Count
North West,Aged 15 years and under,Multi-person,1389162
North West,Aged 16 to 24 years,Multi-person,710358
North West,Aged 25 to 34 years,Multi-person,867671
North West,Aged 35 to 49 years,Multi-person,1215947
North West,Aged 50 years and over,Multi-person,2092512
Yorkshire and The Humber,Aged 15 years and under,Multi-person,1018203
Yorkshire and The Humber,Aged 16 to 24 years,Multi-person,532384
Yorkshire and The Humber,Aged 25 to 34 years,Multi-person,630559
Yorkshire and The Humber,Aged 35 to 49 years,Multi-person,887675
Yorkshire and The Humber,Aged 50 years and over,Multi-person,1574362
East Midlands,Aged 15 years and under,Multi-person,879593
East Midlands,Aged 16 to 24 years,Multi-person,466618
East Midlands,Aged 25 to 34 years,Multi-person,554110
East Midlands,Aged 35 to 49 years,Multi-person,811518
East Midlands,Aged 50 years and over,Multi-person,1469002
West Midlands,Aged 15 years and under,Multi-person,1146207
West Midlands,Aged 16 to 24 years,Multi-person,586361
West Midlands,Aged 25 to 34 years,Multi-person,692903
West Midlands,Aged 35 to 49 years,Multi-person,993609
West Midlands,Aged 50 years and over,Multi-person,1709624
East of England,Aged 15 years and under,Multi-person,1182966
East of England,Aged 16 to 24 years,Multi-person,557339
East of England,Aged 25 to 34 years,Multi-person,731050
East of England,Aged 35 to 49 years,Multi-person,1111308
East of England,Aged 50 years and over,Multi-person,1896188
London,Aged 15 years and under,Multi-person,1693287
London,Aged 16 to 24 years,Multi-person,901637
London,Aged 25 to 34 years,Multi-person,1437082
London,Aged 35 to 49 years,Multi-person,1761550
London,Aged 50 years and over,Multi-person,1904293
South East,Aged 15 years and under,Multi-person,1709650
South East,Aged 16 to 24 years,Multi-person,828489
South East,Aged 25 to 34 years,Multi-person,1036988
South East,Aged 35 to 49 years,Multi-person,1651769
South East,Aged 50 years and over,Multi-person,2779915
South West,Aged 15 years and under,Multi-person,959103
South West,Aged 16 to 24 years,Multi-person,514042
South West,Aged 25 to 34 years,Multi-person,615638
South West,Aged 35 to 49 years,Multi-person,912923
South West,Aged 50 years and over,Multi-person,1839574
Wales,Aged 15 years and under,Multi-person,546860
Wales,Aged 16 to 24 years,Multi-person,292736
Wales,Aged 25 to 34 years,Multi-person,339387
Wales,Aged 35 to 49 years,Multi-person,481874
Wales,Aged 50 years and over,Multi-person,961127
