region,code,Year,average salary
Birmingham,E08000025,2012,23316.8
Birmingham,E08000025,2013,23847.2
Birmingham,E08000025,2014,23831.6
Birmingham,E08000025,2015,23758.8
Birmingham,E08000025,2016,24367.2
Birmingham,E08000025,2017,25438.4
Bolton,E08000001,2012,22058.4
Bolton,E08000001,2013,23306.4
Bolton,E08000001,2014,22380.8
Bolton,E08000001,2015,22490
Bolton,E08000001,2016,23769.2
Bolton,E08000001,2017,24575.2
Braintree,E07000067,2012,27341.6
Braintree,E07000067,2013,28532.4
Braintree,E07000067,2014,27690
Braintree,E07000067,2015,27055.6
Braintree,E07000067,2016,28210
Braintree,E07000067,2017,28475.2
Broxtowe,E07000172,2012,26962
Broxtowe,E07000172,2013,27180.4
Broxtowe,E07000172,2014,27872
Broxtowe,E07000172,2015,27726.4
Broxtowe,E07000172,2016,29723.2
Broxtowe,E07000172,2017,31428.8
Cardiff,W06000015,2012,24835.2
Cardiff,W06000015,2013,25032.8
Cardiff,W06000015,2014,25084.8
Cardiff,W06000015,2015,25989.6
Cardiff,W06000015,2016,26972.4
Cardiff,W06000015,2017,27024.4
Castle Point,E07000069,2017,28288
Castle Point,E07000069,2012,25994.8
Castle Point,E07000069,2013,27591.2
Castle Point,E07000069,2014,27128.4
Castle Point,E07000069,2015,25313.6
Castle Point,E07000069,2016,26249.6
Castle Point,E07000069,2017,28288
Charnwood,E07000130,2012,23623.6
Charnwood,E07000130,2013,25261.6
Charnwood,E07000130,2014,24538.8
Charnwood,E07000130,2015,25428
Charnwood,E07000130,2016,25714
Charnwood,E07000130,2017,25740
Cherwell,E07000177,2012,26358.8
Cherwell,E07000177,2013,26031.2
Cherwell,E07000177,2014,26098.8
Cherwell,E07000177,2015,28334.8
Cherwell,E07000177,2016,29874
Cherwell,E07000177,2017,29842.8
City of Edinburgh,S12000036,2012,27892.8
City of Edinburgh,S12000036,2013,29057.6
City of Edinburgh,S12000036,2014,27227.2
City of Edinburgh,S12000036,2015,27882.4
City of Edinburgh,S12000036,2016,30238
City of Edinburgh,S12000036,2017,30877.6
Liverpool,E08000012,2012,22006.4
Liverpool,E08000012,2013,23576.8
Liverpool,E08000012,2014,24112.4
Liverpool,E08000012,2015,23597.6
Liverpool,E08000012,2016,24226.8
Liverpool,E08000012,2017,25074.4
London,E12000007,2012,31980
London,E12000007,2013,32599
London,E12000007,2014,32990
London,E12000007,2015,33320
London,E12000007,2016,33997.6
London,E12000007,2017,35510.8
Manchester,E08000003,2012,21455.2
Manchester,E08000003,2013,21720.4
Manchester,E08000003,2014,22458.8
Manchester,E08000003,2015,22880
Manchester,E08000003,2016,23192
Manchester,E08000003,2017,23561.2
