code,area name,index,category,value,average salary
E12000001,North East,1,Healthy People Domain,85.2,25095.2
E12000001,North East,2,Difficulties in daily life [Pe],86.4,25095.2
E12000001,North East,3,Disability [Pe1],79.4,25095.2
E12000001,North East,4,Frailty [Pe1],98.4,25095.2
E12000001,North East,5,Mental health [Pe],85.4,25095.2
E12000001,North East,6,"Children's social, emotional and mental health [Pe2]",88.6,25095.2
E12000001,North East,7,Mental health conditions [Pe2],90.5,25095.2
E12000001,North East,8,Self-harm [Pe2],90,25095.2
E12000001,North East,9,Suicides [Pe2],89.3,25095.2
E12000001,North East,10,Mortality [Pe],90.1,25095.2
E12000001,North East,11,Avoidable mortality [Pe3],89,25095.2
E12000001,North East,12,Infant mortality [Pe3],102.3,25095.2
E12000001,North East,13,Life expectancy [Pe3],88,25095.2
E12000001,North East,14,Mortality from all causes [Pe3],89.8,25095.2
E12000001,North East,15,Personal well-being [Pe],92,25095.2
E12000001,North East,16,Activities in life are worthwhile [Pe4],92.5,25095.2
E12000001,North East,17,Feelings of anxiety [Pe4],92.7,25095.2
E12000001,North East,18,Happiness [Pe4],94.6,25095.2
E12000001,North East,19,Life satisfaction [Pe4],92.8,25095.2
E12000001,North East,20,Physical health conditions [Pe],96.1,25095.2
E12000001,North East,21,Cancer [Pe5],101.2,25095.2
E12000001,North East,22,Cardiovascular conditions [Pe5],97.1,25095.2
E12000001,North East,23,Dementia [Pe5],98.7,25095.2
E12000001,North East,24,Diabetes [Pe5],96.9,25095.2
E12000001,North East,25,Kidney and liver disease [Pe5],96.9,25095.2
E12000001,North East,26,Musculoskeletal conditions [Pe5],95.8,25095.2
E12000001,North East,27,Respiratory conditions [Pe5],94.3,25095.2
E12000001,North East,28,Healthy Lives Domain,94.2,25095.2
E12000001,North East,29,Behavioural risk factors [L],93.4,25095.2
E12000001,North East,30,Alcohol misuse [L1],87.2,25095.2
E12000001,North East,31,Drug misuse [L1],96.6,25095.2
E12000001,North East,32,Healthy eating [L1],94.2,25095.2
E12000001,North East,33,Physical activity [L1],94.5,25095.2
E12000001,North East,34,Sedentary behaviour [L1],91.8,25095.2
E12000001,North East,35,Sexually transmitted infections [L1],102.3,25095.2
E12000001,North East,36,Smoking [L1],106.1,25095.2
E12000001,North East,37,Children and young people [L],99.1,25095.2
E12000001,North East,38,Early years development [L2],111.7,25095.2
E12000001,North East,39,Pupil absences [L2],100.6,25095.2
E12000001,North East,40,Pupil attainment [L2],103.4,25095.2
E12000001,North East,41,Teenage pregnancy [L2],102.5,25095.2
E12000001,North East,42,"Young people in education, employment and apprenticeships [L2]",89.1,25095.2
E12000001,North East,43,Physiological risk factors [L],84.1,25095.2
E12000001,North East,44,High blood pressure [L3],100.2,25095.2
E12000001,North East,45,Low birth weight [L3],99.9,25095.2
E12000001,North East,46,Overweight and obesity in adults [L3],85.3,25095.2
E12000001,North East,47,Overweight and obesity in children [L3],83.7,25095.2
E12000001,North East,48,Protective measures [L],104.8,25095.2
E12000001,North East,49,Cancer screening attendance [L4],99,25095.2
E12000001,North East,50,Child vaccination coverage [L4],109.6,25095.2
E12000001,North East,51,Healthy Places Domain,104.9,25095.2
E12000001,North East,52,Access to green space [Pl],109.3,25095.2
E12000001,North East,53,Private outdoor space [Pl1],109.3,25095.2
E12000001,North East,54,Access to services [Pl],99.1,25095.2
E12000001,North East,55,Distance to GP services [Pl2],97.9,25095.2
E12000001,North East,56,Distance to pharmacies [Pl2],98,25095.2
E12000001,North East,57,Distance to sports or leisure facilities [Pl2],100.2,25095.2
E12000001,North East,58,Internet access [Pl2],103.9,25095.2
E12000001,North East,59,Patients offered acceptable GP practice appointments [Pl2],97.4,25095.2
E12000001,North East,60,Crime [Pl],94.2,25095.2
E12000001,North East,61,Low-level crime [Pl3],101.1,25095.2
E12000001,North East,62,Personal crime [Pl3],88,25095.2
E12000001,North East,63,Economic and working conditions [Pl],93,25095.2
