area,own,Weekly earnings
Barking and Dagenham,15.1,623.1
Barnet,26.2,613.3
Bexley,32.7,608.7
Brent,20.2,666.3
Bromley,33,679.1
Camden,15.9,781.6
Croydon,24.2,710.5
Ealing,22.7,616.9
Enfield,26.2,605.6
Greenwich,16.2,658.2
Hackney,9.7,766.1
Hammersmith and Fulham,15.4,789.7
Haringey,17.3,639.1
Harrow,30.1,609.1
Havering,34.5,613.5
Hillingdon,26.5,672.9
Hounslow,21.1,726.8
Islington,11.6,824
Kensington and Chelsea,19.9,632.1
Kingston upon Thames,28.2,689.9
Lambeth,12,696.3
Lewisham,15.4,645.1
Merton,25.3,662.1
Newham,12.7,726.3
Redbridge,27,587.5
Richmond upon Thames,30.4,706.8
Southwark,10.6,819.1
Sutton,28.4,595.3
Tower Hamlets,7.8,923.6
Waltham Forest,20.2,631.6
Wandsworth,17.8,670.8
Westminster,16,851.4
