code,value,areaName,cx,cy,region,Average size
E06000001,985.5,Hartlepool,448118,530661,E12000001,2.233667237
E06000002,2671.2,Middlesbrough,450380,516653,E12000001,2.341309615
E06000003,557.1,Redcar and Cleveland,463383,518023,E12000001,2.194376845
E06000004,959.3,Stockton-on-Tees,443484,518785,E12000001,2.308789818
E06000005,545.9,Darlington,429038,517147,E12000001,2.183087364
E06000006,1624.3,Halton,352162,383230,E12000002,2.279798395
E06000011,142.4,East Riding of Yorkshire,499908,442365,E12000003,2.209276174
E06000012,815,North East Lincolnshire,523749,406881,E12000003,2.225646607
E06000014,745.8,York,461737,451799,E12000003,2.240700219
E06000015,3349.5,Derby,435851,335169,E12000004,2.418174762
E06000017,107.5,Rutland,491121,307844,E12000004,2.242302624
E06000018,4337.6,Nottingham,455451,340739,E12000004,2.406356968
E06000019,85.8,Herefordshire,349035,245285,E12000005,2.228268218
E06000020,639.1,Telford and Wrekin,367109,314837,E12000005,2.398405437
E06000021,2764.8,Stoke-on-Trent,389018,346716,E12000005,2.305114223
E06000023,4308.1,Bristol,346546,172919,E12000009,2.384754669
E06000024,579.9,North Somerset,344429,165882,E12000009,2.263130091
E06000026,3314.8,Plymouth,249389,56735,E12000009,2.246113289
E06000027,2215.6,Torbay,291417,61223,E12000009,2.176572372
E06000031,628.1,Peterborough,518343,302621,E12000006,2.51989779
E06000032,5196,Luton,508515,222915,E12000006,2.80789207
E06000035,1444.2,Medway,578769,172759,E12000008,2.474797682
E06000036,1139.2,Bracknell Forest,487739,168395,E12000008,2.428912594
E06000037,229.3,West Berkshire,448409,172535,E12000008,2.378334183
E06000038,4312.6,Reading,470639,173186,E12000008,2.494215682
E06000039,4871.5,Slough,498180,179746,E12000008,2.991148923
E06000040,781.1,Windsor and Maidenhead,490435,177040,E12000008,2.447821449
E06000041,991.7,Wokingham,477672,170613,E12000008,2.524159968
E06000042,930.1,Milton Keynes,486881,243629,E12000008,2.517311807
E06000043,3345.3,Brighton and Hove,531606,106526,E12000008,2.211355661
E06000044,5149.8,Portsmouth,465010,102752,E12000008,2.335318151
E06000045,4990.5,Southampton,442376,113232,E12000008,2.33154432
E06000047,234.5,County Durham,410446,533389,E12000001,2.166366359
E06000050,388.2,Cheshire West and Chester,350919,367257,E12000002,2.268326953
E06000051,101.2,Shropshire,350424,304422,E12000005,2.260590777
E06000053,125.9,Isles of Scilly,91546,11139,E12000009,2.152704136
E06000054,156.8,Wiltshire,403934,155301,E12000009,2.31540847
E06000055,388.8,Bedford,504237,255656,E12000006,2.437211474
E06000056,411.2,Central Bedfordshire,507413,235392,E12000006,2.415318874
E06000057,63.9,Northumberland,395886,594161,E12000001,2.15084875
E06000058,2469.2,Bournemouth Christchurch and Poole,408362,94131,E12000009,2.240069949
E06000059,152.4,Dorset,376581,100771,E12000009,2.195052494
E06000060,353.4,Buckinghamshire,482081,210241,E12000008,2.474043245
E06000061,364.4,North Northamptonshire,493494,281667,E12000004,2.390077828
E06000062,309.1,West Northamptonshire,465908,258722,E12000004,2.426903227
E07000008,3579.2,Cambridge,545770,257755,E12000006,2.3752406
E07000009,134.8,East Cambridgeshire,556466,274112,E12000006,2.338010376
E07000010,187.5,Fenland,539807,298084,E12000006,2.291450219
E07000012,179.8,South Cambridgeshire,542444,254795,E12000006,2.399382053
E07000026,77.4,Allerdale,319765,535836,E12000002,2.163331211
E07000027,865.3,Barrow-in-Furness,320831,470657,E12000002,2.138908439
E07000028,106,Carlisle,348339,564335,E12000002,2.147879123
E07000029,91.7,Copeland,310947,502927,E12000002,2.155087856
E07000030,25.5,Eden,359952,524354,E12000002,2.20769512
E07000031,68,South Lakeland,344716,488871,E12000002,2.136205305
E07000032,475.6,Amber Valley,435845,348157,E12000004,2.223853015
E07000033,500.7,Bolsover,448358,368917,E12000004,2.257529352
E07000034,1568.4,Chesterfield,440052,373318,E12000004,2.135292037
E07000035,90.3,Derbyshire Dales,420549,359062,E12000004,2.181086021
E07000036,1029.9,Erewash,443979,337734,E12000004,2.227182421
E07000037,168.7,High Peak,408491,386271,E12000004,2.213700579
E07000038,370.1,North East Derbyshire,436969,370027,E12000004,2.202144084
E07000041,2780,Exeter,293498,92447,E12000009,2.299164653
E07000042,90.8,Mid Devon,290588,109637,E12000009,2.304397856
E07000043,90.8,North Devon,265967,131782,E12000009,2.247007894
E07000045,200.1,Teignbridge,282849,79821,E12000009,2.216855792
E07000046,69.2,Torridge,241935,112003,E12000009,2.209619173
E07000047,49.2,West Devon,255465,86000,E12000009,2.238607518
E07000061,2302.6,Eastbourne,559822,99749,E12000008,2.184104363
E07000062,3053.9,Hastings,580952,110924,E12000008,2.214149754
E07000063,342,Lewes,541167,111026,E12000008,2.251716719
E07000067,253.8,Braintree,578133,230213,E12000006,2.369337068
E07000068,503.2,Brentwood,559999,195829,E12000006,2.362160658
E07000069,2005.4,Castle Point,579982,185122,E12000006,2.382475661
E07000070,535.9,Chelmsford,571456,205876,E12000006,2.374123046
